season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id
2021,172,13.1,Darrell Henderson,RB,LAR,11,153.6,17,9.02,15.12,242,00-0035664,5916
2021,173,13.1,Tua Tagovailoa,QB,MIA,14,153.7,21.6,8.06,15.12,126,00-0036212,6768
2021,174,13.12,Boston Scott,RB,PHI,14,155.7,11.4,11.01,15.12,82,00-0034414,5122
2021,175,13.12,DeeJay Dallas,RB,SEA,9,156.3,15.4,7.12,15.12,38,00-0036425,6931
2021,176,13.12,Jared Cook,TE,LAC,7,156.4,16.1,9.12,15.12,70,00-0027061,367
2021,177,14.01,Derek Carr,QB,LV,8,156.7,16.7,9.03,15.12,92,00-0031280,2028
2021,178,14.01,Eric Ebron,TE,PIT,7,157.4,19,10.12,15.11,16,00-0031387,2118
2021,179,14.02,Darnell Mooney,WR,CHI,10,157.6,15.5,10.05,15.12,151,00-0036309,7090
2021,180,14.02,Adam Trautman,TE,NO,6,157.7,21.2,10.12,15.12,15,00-0036422,6869
2021,183,14.03,Jamison Crowder,WR,NYJ,6,159.1,9.8,12.01,15.12,130,00-0031941,2410
2021,185,14.04,Elijah Moore,WR,NYJ,6,159.6,14.4,11.05,15.1,16,,7596
2021,187,14.05,Sterling Shepard,WR,NYG,10,161,12.7,11.08,15.12,33,00-0032385,3200
2021,188,14.05,Giovani Bernard,RB,TB,9,161.3,14.7,11.01,15.12,102,00-0030456,1386
2021,189,14.06,Emmanuel Sanders,WR,BUF,7,161.5,13.4,11.03,15.12,116,00-0027685,538
2021,190,14.06,Marlon Mack,RB,IND,14,161.8,18.7,7.12,15.12,128,00-0033951,4152
2021,191,14.06,Darius Slayton,WR,NYG,10,161.9,9.8,12.07,15.12,61,00-0035535,6149
2021,192,14.06,Jared Goff,QB,DET,9,162.2,15.1,11.11,15.11,12,00-0033106,3163
2021,193,14.07,Gabriel Davis,WR,BUF,7,163,12.3,11.09,15.12,44,00-0036196,6943
2021,194,14.07,Daniel Jones,QB,NYG,10,163.2,16.6,9.05,15.12,57,00-0035710,5870
2021,195,14.07,Russell Gage,WR,ATL,6,163.3,11.9,12.03,15.12,46,00-0034411,5110
2021,196,14.07,Ryan Fitzpatrick,QB,WAS,9,163.4,16.7,5.04,16.07,131,00-0023682,333
2021,199,14.08,Tarik Cohen,RB,CHI,10,164.1,14.7,8.09,15.12,170,00-0033556,4157
2021,200,14.08,Justin Fields,QB,CHI,10,164.2,16.5,8.05,15.11,34,,7591
2021,201,14.08,Denzel Mims,WR,NYJ,6,164.2,18,9.08,15.12,25,00-0036255,6849
2021,203,14.09,Sammy Watkins,WR,BAL,8,165.2,14.9,10.02,16.01,90,00-0031325,1817
2021,205,14.1,DeSean Jackson,WR,LAR,11,165.6,13.1,13.04,15.11,9,00-0026189,147
2021,206,14.1,A.J. Green,WR,ARI,12,166,12.3,11.03,15.12,61,00-0027942,830
2021,208,14.1,Kenneth Gainwell,RB,PHI,14,166,20.2,9.03,15.1,18,,7567
2021,211,14.11,Justin Jackson,RB,LAC,7,167.2,12.9,11.11,15.12,77,00-0034440,5131
2021,212,14.12,Christian Kirk,WR,ARI,12,167.6,12.7,10.06,15.12,62,00-0034775,4950
2021,213,14.12,Darrel Williams,RB,KC,12,168.1,19.1,11.1,15.12,22,00-0034301,5549
2021,215,15.01,Malcolm Brown,RB,MIA,14,169,13,12.07,15.12,25,00-0031806,2588
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
2021,,,,,,,,,,,,#N/A,#N/A
