season,week,location,team,opponent,final_score,spread_line,team_coach,opponent_coach,game_id
1999,5,Home,MIN,CHI,22-24,13,Dennis Green,Dick Jauron,1999_05_CHI_MIN
1999,5,Away,CIN,CLE,18-17,3,Bruce Coslet,Chris Palmer,1999_05_CIN_CLE
1999,5,Home,CLE,CIN,17-18,-3,Chris Palmer,Bruce Coslet,1999_05_CIN_CLE
1999,5,Away,DAL,PHI,10-13,9.5,Chan Gailey,Andy Reid,1999_05_DAL_PHI
1999,5,Home,PHI,DAL,13-10,-9.5,Andy Reid,Chan Gailey,1999_05_DAL_PHI
1999,5,Away,NE,KC,14-16,-2.5,Pete Carroll,Gunther Cunningham,1999_05_NE_KC
1999,5,Home,KC,NE,16-14,2.5,Gunther Cunningham,Pete Carroll,1999_05_NE_KC
1999,5,Away,PIT,BUF,21-24,-6.5,Bill Cowher,Wade Phillips,1999_05_PIT_BUF
1999,5,Home,BUF,PIT,24-21,6.5,Wade Phillips,Bill Cowher,1999_05_PIT_BUF
1999,5,Away,LAC,DET,20-10,-3.5,Mike Riley,Bobby Ross,1999_05_SD_DET
1999,5,Home,DET,LAC,10-20,3.5,Bobby Ross,Mike Riley,1999_05_SD_DET
1999,5,Away,SF,LA,20-42,-3,Steve Mariucci,Dick Vermeil,1999_05_SF_STL
1999,5,Home,LA,SF,42-20,3,Dick Vermeil,Steve Mariucci,1999_05_SF_STL
1999,5,Away,NYG,ARI,3-14,-3,Jim Fassel,Vince Tobin,1999_05_NYG_ARI
1999,5,Home,ARI,NYG,14-3,3,Vince Tobin,Jim Fassel,1999_05_NYG_ARI
1999,5,Away,BAL,TEN,11-14,-7,Brian Billick,Jeff Fisher,1999_05_BAL_TEN
1999,5,Home,TEN,BAL,14-11,7,Jeff Fisher,Brian Billick,1999_05_BAL_TEN
1999,5,Away,DEN,LV,16-13,-7,Mike Shanahan,Jon Gruden,1999_05_DEN_OAK
1999,5,Home,LV,DEN,13-16,7,Jon Gruden,Mike Shanahan,1999_05_DEN_OAK
1999,5,Away,MIA,IND,34-31,1.5,Jimmy Johnson,Jim Mora,1999_05_MIA_IND
1999,5,Home,IND,MIA,31-34,-1.5,Jim Mora,Jimmy Johnson,1999_05_MIA_IND
1999,5,Away,TB,GB,23-26,-6,Tony Dungy,Ray Rhodes,1999_05_TB_GB
1999,5,Home,GB,TB,26-23,6,Ray Rhodes,Tony Dungy,1999_05_TB_GB
1999,5,Away,JAX,NYJ,16-6,3,Tom Coughlin,Bill Parcells,1999_05_JAX_NYJ
1999,5,Home,NYJ,JAX,6-16,-3,Bill Parcells,Tom Coughlin,1999_05_JAX_NYJ
1999,6,Away,CLE,JAX,7-24,-17.5,Chris Palmer,Tom Coughlin,1999_06_CLE_JAX
1999,6,Home,JAX,CLE,24-7,17.5,Tom Coughlin,Chris Palmer,1999_06_CLE_JAX
1999,6,Away,IND,NYJ,16-13,2.5,Jim Mora,Bill Parcells,1999_06_IND_NYJ
1999,6,Home,NYJ,IND,13-16,-2.5,Bill Parcells,Jim Mora,1999_06_IND_NYJ
1999,6,Away,MIA,NE,31-30,-2.5,Jimmy Johnson,Pete Carroll,1999_06_MIA_NE
1999,6,Home,NE,MIA,30-31,2.5,Pete Carroll,Jimmy Johnson,1999_06_MIA_NE
1999,6,Away,MIN,DET,23-25,3.5,Dennis Green,Bobby Ross,1999_06_MIN_DET
1999,6,Home,DET,MIN,25-23,-3.5,Bobby Ross,Dennis Green,1999_06_MIN_DET
1999,6,Away,LV,BUF,20-14,-3.5,Jon Gruden,Wade Phillips,1999_06_OAK_BUF
1999,6,Home,BUF,LV,14-20,3.5,Wade Phillips,Jon Gruden,1999_06_OAK_BUF
1999,6,Away,PHI,CHI,20-16,-6.5,Andy Reid,Dick Jauron,1999_06_PHI_CHI
1999,6,Home,CHI,PHI,16-20,6.5,Dick Jauron,Andy Reid,1999_06_PHI_CHI
1999,6,Away,PIT,CIN,17-3,5,Bill Cowher,Bruce Coslet,1999_06_PIT_CIN
1999,6,Home,CIN,PIT,3-17,-5,Bruce Coslet,Bill Cowher,1999_06_PIT_CIN
1999,6,Away,LA,ATL,41-13,6,Dick Vermeil,Dan Reeves,1999_06_STL_ATL
1999,6,Home,ATL,LA,13-41,-6,Dan Reeves,Dick Vermeil,1999_06_STL_ATL
1999,6,Away,TEN,NO,24-21,3,Jeff Fisher,Mike Ditka,1999_06_TEN_NO
1999,6,Home,NO,TEN,21-24,-3,Mike Ditka,Jeff Fisher,1999_06_TEN_NO
1999,6,Away,SEA,LAC,10-13,1.5,Mike Holmgren,Mike Riley,1999_06_SEA_SD
1999,6,Home,LAC,SEA,13-10,-1.5,Mike Riley,Mike Holmgren,1999_06_SEA_SD
1999,6,Away,CAR,SF,31-29,-5,George Seifert,Steve Mariucci,1999_06_CAR_SF
1999,6,Home,SF,CAR,29-31,5,Steve Mariucci,George Seifert,1999_06_CAR_SF
1999,6,Away,GB,DEN,10-31,3.5,Ray Rhodes,Mike Shanahan,1999_06_GB_DEN
1999,6,Home,DEN,GB,31-10,-3.5,Mike Shanahan,Ray Rhodes,1999_06_GB_DEN
1999,6,Away,WAS,ARI,24-10,3.5,Norv Turner,Vince Tobin,1999_06_WAS_ARI
1999,6,Home,ARI,WAS,10-24,-3.5,Vince Tobin,Norv Turner,1999_06_WAS_ARI
1999,6,Away,DAL,NYG,10-13,3,Chan Gailey,Jim Fassel,1999_06_DAL_NYG
1999,6,Home,NYG,DAL,13-10,-3,Jim Fassel,Chan Gailey,1999_06_DAL_NYG
1999,7,Away,KC,BAL,35-8,1,Gunther Cunningham,Brian Billick,1999_07_KC_BAL
1999,7,Home,BAL,KC,8-35,-1,Brian Billick,Gunther Cunningham,1999_07_KC_BAL
1999,7,Away,CHI,TB,3-6,-8,Dick Jauron,Tony Dungy,1999_07_CHI_TB
1999,7,Home,TB,CHI,6-3,8,Tony Dungy,Dick Jauron,1999_07_CHI_TB
1999,7,Away,CIN,IND,10-31,-11,Bruce Coslet,Jim Mora,1999_07_CIN_IND
1999,7,Home,IND,CIN,31-10,11,Jim Mora,Bruce Coslet,1999_07_CIN_IND
1999,7,Away,CLE,LA,3-34,-18.5,Chris Palmer,Dick Vermeil,1999_07_CLE_STL
1999,7,Home,LA,CLE,34-3,18.5,Dick Vermeil,Chris Palmer,1999_07_CLE_STL
1999,7,Away,DEN,NE,23-24,-3.5,Mike Shanahan,Pete Carroll,1999_07_DEN_NE
1999,7,Home,NE,DEN,24-23,3.5,Pete Carroll,Mike Shanahan,1999_07_DEN_NE
1999,7,Away,DET,CAR,24-9,-4.5,Bobby Ross,George Seifert,1999_07_DET_CAR
1999,7,Home,CAR,DET,9-24,4.5,George Seifert,Bobby Ross,1999_07_DET_CAR
1999,7,Away,NO,NYG,3-31,-3,Mike Ditka,Jim Fassel,1999_07_NO_NYG
1999,7,Home,NYG,NO,31-3,3,Jim Fassel,Mike Ditka,1999_07_NO_NYG
1999,7,Away,PHI,MIA,13-16,-9,Andy Reid,Jimmy Johnson,1999_07_PHI_MIA
1999,7,Home,MIA,PHI,16-13,9,Jimmy Johnson,Andy Reid,1999_07_PHI_MIA
1999,7,Away,SF,MIN,16-40,-7,Steve Mariucci,Dennis Green,1999_07_SF_MIN
1999,7,Home,MIN,SF,40-16,7,Dennis Green,Steve Mariucci,1999_07_SF_MIN
1999,7,Away,WAS,DAL,20-38,-2,Norv Turner,Chan Gailey,1999_07_WAS_DAL
1999,7,Home,DAL,WAS,38-20,2,Chan Gailey,Norv Turner,1999_07_WAS_DAL
1999,7,Away,GB,LAC,31-3,3,Ray Rhodes,Mike Riley,1999_07_GB_SD
1999,7,Home,LAC,GB,3-31,-3,Mike Riley,Ray Rhodes,1999_07_GB_SD
1999,7,Away,BUF,SEA,16-26,-2.5,Wade Phillips,Mike Holmgren,1999_07_BUF_SEA
1999,7,Home,SEA,BUF,26-16,2.5,Mike Holmgren,Wade Phillips,1999_07_BUF_SEA
1999,7,Away,NYJ,LV,23-24,-6.5,Bill Parcells,Jon Gruden,1999_07_NYJ_OAK
1999,7,Home,LV,NYJ,24-23,6.5,Jon Gruden,Bill Parcells,1999_07_NYJ_OAK
1999,7,Away,ATL,PIT,9-13,-5.5,Dan Reeves,Bill Cowher,1999_07_ATL_PIT
1999,7,Home,PIT,ATL,13-9,5.5,Bill Cowher,Dan Reeves,1999_07_ATL_PIT
1999,8,Away,BUF,BAL,13-10,3.5,Wade Phillips,Brian Billick,1999_08_BUF_BAL
1999,8,Home,BAL,BUF,10-13,-3.5,Brian Billick,Wade Phillips,1999_08_BUF_BAL
1999,8,Away,CAR,ATL,20-27,-2,George Seifert,Dan Reeves,1999_08_CAR_ATL
1999,8,Home,ATL,CAR,27-20,2,Dan Reeves,George Seifert,1999_08_CAR_ATL
1999,8,Away,CHI,WAS,22-48,-8.5,Dick Jauron,Norv Turner,1999_08_CHI_WAS
1999,8,Home,WAS,CHI,48-22,8.5,Norv Turner,Dick Jauron,1999_08_CHI_WAS
1999,8,Away,CLE,NO,21-16,-9.5,Chris Palmer,Mike Ditka,1999_08_CLE_NO
1999,8,Home,NO,CLE,16-21,9.5,Mike Ditka,Chris Palmer,1999_08_CLE_NO
1999,8,Away,DAL,IND,24-34,-3,Chan Gailey,Jim Mora,1999_08_DAL_IND
1999,8,Home,IND,DAL,34-24,3,Jim Mora,Chan Gailey,1999_08_DAL_IND
1999,8,Away,JAX,CIN,41-10,12.5,Tom Coughlin,Bruce Coslet,1999_08_JAX_CIN
1999,8,Home,CIN,JAX,10-41,-12.5,Bruce Coslet,Tom Coughlin,1999_08_JAX_CIN
1999,8,Away,NYG,PHI,23-17,2.5,Jim Fassel,Andy Reid,1999_08_NYG_PHI
1999,8,Home,PHI,NYG,17-23,-2.5,Andy Reid,Jim Fassel,1999_08_NYG_PHI
1999,8,Away,LA,TEN,21-24,3,Dick Vermeil,Jeff Fisher,1999_08_STL_TEN
1999,8,Home,TEN,LA,24-21,-3,Jeff Fisher,Dick Vermeil,1999_08_STL_TEN
1999,8,Away,LAC,KC,0-34,-6,Mike Riley,Gunther Cunningham,1999_08_SD_KC
1999,8,Home,KC,LAC,34-0,6,Gunther Cunningham,Mike Riley,1999_08_SD_KC
1999,8,Away,MIA,LV,16-9,-3,Jimmy Johnson,Jon Gruden,1999_08_MIA_OAK
1999,8,Home,LV,MIA,9-16,3,Jon Gruden,Jimmy Johnson,1999_08_MIA_OAK
1999,8,Away,NE,ARI,27-3,3,Pete Carroll,Vince Tobin,1999_08_NE_ARI
1999,8,Home,ARI,NE,3-27,-3,Vince Tobin,Pete Carroll,1999_08_NE_ARI
1999,8,Away,MIN,DEN,23-20,2.5,Dennis Green,Mike Shanahan,1999_08_MIN_DEN
1999,8,Home,DEN,MIN,20-23,-2.5,Mike Shanahan,Dennis Green,1999_08_MIN_DEN
1999,8,Away,TB,DET,3-20,2.5,Tony Dungy,Bobby Ross,1999_08_TB_DET
1999,8,Home,DET,TB,20-3,-2.5,Bobby Ross,Tony Dungy,1999_08_TB_DET
1999,8,Away,SEA,GB,27-7,-5.5,Mike Holmgren,Ray Rhodes,1999_08_SEA_GB
1999,8,Home,GB,SEA,7-27,5.5,Ray Rhodes,Mike Holmgren,1999_08_SEA_GB
1999,9,Away,ARI,NYJ,7-12,-7,Vince Tobin,Bill Parcells,1999_09_ARI_NYJ
1999,9,Home,NYJ,ARI,12-7,7,Bill Parcells,Vince Tobin,1999_09_ARI_NYJ
1999,9,Away,BAL,CLE,41-9,3.5,Brian Billick,Chris Palmer,1999_09_BAL_CLE
1999,9,Home,CLE,BAL,9-41,-3.5,Chris Palmer,Brian Billick,1999_09_BAL_CLE
1999,9,Away,BUF,WAS,34-17,-4,Wade Phillips,Norv Turner,1999_09_BUF_WAS
1999,9,Home,WAS,BUF,17-34,4,Norv Turner,Wade Phillips,1999_09_BUF_WAS
1999,9,Away,CHI,GB,14-13,-9,Dick Jauron,Ray Rhodes,1999_09_CHI_GB
1999,9,Home,GB,CHI,13-14,9,Ray Rhodes,Dick Jauron,1999_09_CHI_GB
1999,9,Away,JAX,ATL,30-7,6,Tom Coughlin,Dan Reeves,1999_09_JAX_ATL
1999,9,Home,ATL,JAX,7-30,-6,Dan Reeves,Tom Coughlin,1999_09_JAX_ATL
