game_id,season,week,team,team_score,opp,opp_score,team_result,location,spread_line,team_coach,opp_coach
2014_02_NO_CLE,2014,2,CLE,26,NO,24,2,Home,-4.5,Mike Pettine,Sean Payton
2014_02_NE_MIN,2014,2,NE,30,MIN,7,23,Away,3.5,Bill Belichick,Mike Zimmer
2014_02_NE_MIN,2014,2,MIN,7,NE,30,-23,Home,-3.5,Mike Zimmer,Bill Belichick
2014_02_ARI_NYG,2014,2,ARI,25,NYG,14,11,Away,-1,Bruce Arians,Tom Coughlin
2014_02_ARI_NYG,2014,2,NYG,14,ARI,25,-11,Home,1,Tom Coughlin,Bruce Arians
2014_02_DAL_TEN,2014,2,DAL,26,TEN,10,16,Away,-3,Jason Garrett,Ken Whisenhunt
2014_02_DAL_TEN,2014,2,TEN,10,DAL,26,-16,Home,3,Ken Whisenhunt,Jason Garrett
2014_02_JAX_WAS,2014,2,JAX,10,WAS,41,-31,Away,-5,Gus Bradley,Jay Gruden
2014_02_JAX_WAS,2014,2,WAS,41,JAX,10,31,Home,5,Jay Gruden,Gus Bradley
2014_02_SEA_SD,2014,2,SEA,21,LAC,30,-9,Away,4.5,Pete Carroll,Mike McCoy
2014_02_SEA_SD,2014,2,LAC,30,SEA,21,9,Home,-4.5,Mike McCoy,Pete Carroll
2014_02_STL_TB,2014,2,LA,19,TB,17,2,Away,-4,Jeff Fisher,Lovie Smith
2014_02_STL_TB,2014,2,TB,17,LA,19,-2,Home,4,Lovie Smith,Jeff Fisher
2014_02_KC_DEN,2014,2,KC,17,DEN,24,-7,Away,-13,Andy Reid,John Fox
2014_02_KC_DEN,2014,2,DEN,24,KC,17,7,Home,13,John Fox,Andy Reid
2014_02_NYJ_GB,2014,2,NYJ,24,GB,31,-7,Away,-7,Rex Ryan,Mike McCarthy
2014_02_NYJ_GB,2014,2,GB,31,NYJ,24,7,Home,7,Mike McCarthy,Rex Ryan
2014_02_HOU_OAK,2014,2,HOU,30,LV,14,16,Away,3,Bill O'Brien,Dennis Allen
2014_02_HOU_OAK,2014,2,LV,14,HOU,30,-16,Home,-3,Dennis Allen,Bill O'Brien
2014_02_CHI_SF,2014,2,CHI,28,SF,20,8,Away,-7,Marc Trestman,Jim Harbaugh
2014_02_CHI_SF,2014,2,SF,20,CHI,28,-8,Home,7,Jim Harbaugh,Marc Trestman
2014_02_PHI_IND,2014,2,PHI,30,IND,27,3,Away,-3,Chip Kelly,Chuck Pagano
2014_02_PHI_IND,2014,2,IND,27,PHI,30,-3,Home,3,Chuck Pagano,Chip Kelly
2014_03_TB_ATL,2014,3,TB,14,ATL,56,-42,Away,-6.5,Lovie Smith,Mike Smith
2014_03_TB_ATL,2014,3,ATL,56,TB,14,42,Home,6.5,Mike Smith,Lovie Smith
2014_03_SD_BUF,2014,3,LAC,22,BUF,10,12,Away,-2.5,Mike McCoy,Doug Marrone
2014_03_SD_BUF,2014,3,BUF,10,LAC,22,-12,Home,2.5,Doug Marrone,Mike McCoy
2014_03_TEN_CIN,2014,3,TEN,7,CIN,33,-26,Away,-6.5,Ken Whisenhunt,Marvin Lewis
2014_03_TEN_CIN,2014,3,CIN,33,TEN,7,26,Home,6.5,Marvin Lewis,Ken Whisenhunt
2014_03_BAL_CLE,2014,3,BAL,23,CLE,21,2,Away,2,John Harbaugh,Mike Pettine
2014_03_BAL_CLE,2014,3,CLE,21,BAL,23,-2,Home,-2,Mike Pettine,John Harbaugh
2014_03_GB_DET,2014,3,GB,7,DET,19,-12,Away,-1.5,Mike McCarthy,Jim Caldwell
2014_03_GB_DET,2014,3,DET,19,GB,7,12,Home,1.5,Jim Caldwell,Mike McCarthy
2014_03_IND_JAX,2014,3,IND,44,JAX,17,27,Away,6,Chuck Pagano,Gus Bradley
2014_03_IND_JAX,2014,3,JAX,17,IND,44,-27,Home,-6,Gus Bradley,Chuck Pagano
2014_03_OAK_NE,2014,3,LV,9,NE,16,-7,Away,-14,Dennis Allen,Bill Belichick
